restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,phone_number,total_revenue,total_bookings,total_guests,avg_revenue_per_booking,no_show_rate
2645,KBBQ The Street Ratchada,เคบีบีคิว เดอะสตรีทรัชดา,Mengjai,961730555,23542710.0,1414.0,5396.0,16649.724186704385,0.0332390381895332
2649,Uzzie Restaurant by Maitria Mode Sukhumvit 15,Uzzie Restaurant by Maitria Mode Sukhumvit 15,Nana,627305097,356300.0,25.0,63.0,14252.0,0.0
2650,Maitria Mode Sukhumvit 15 Bangkok Staycation,Maitria Mode Sukhumvit 15 Bangkok Staycation,Nana,26513355,68864900.0,2602.0,5209.0,26466.14142966949,0.0003843197540353
2652,Pool Bar by Maitria Mode Sukhumvit 15,Pool Bar by Maitria Mode Sukhumvit 15,Nana,627305097,201400.0,16.0,38.0,12587.5,0.0
2657,M Café M Hotel (Pattaya),เอ็ม คาเฟ่ เอ็มโฮเทล (พัทยา),Bangkok,632046799,2701440.0,91.0,323.0,29686.153846153848,0.0439560439560439
2658,,เจี่ยงชาบู&กริลล์,Bangkok,922690535,363710.0,32.0,83.0,11365.9375,0.0
2661,,ร้านอาหารเซนโคจิ แมนดาริน อีสต์วิลล์ (พัทยา),Bangkok,38110666,22800.0,2.0,4.0,11400.0,0.0
2664,,อเล็กซ่า บีช คลับ (พัทยา),Bangkok,982756112,2227900.0,83.0,238.0,26842.168674698794,0.0120481927710843
2666,,คี สกาย เลานจ์ รูฟท็อป (ภูเก็ต),Bangkok,76335888,423700.0,22.0,53.0,19259.090909090908,0.0454545454545454
2669,Santa Monica,ซานตา โมนิกา,On Nut,838304405,41900.0,3.0,6.0,13966.666666666666,0.0
2675,The Mayflower Restaurant at Dusit Princess Srinakarin,เดอะเมย์ฟลาวเวอร์ ดุสิต ปริ๊นเซส ศรีนครินทร์,Bangkok,815905769,15155230.0,438.0,1755.0,34600.98173515982,0.0
2677,,โกดังน้ำเงี้ยวชาบู,Bangkok,982527585,6560.0,1.0,2.0,6560.0,0.0
2681,Na Klongwan Vibhavadi 20,ณ คลองวาฬ วิภาวดี 20,Ladprao,21032228,785323884.0,23441.0,61901.0,33502.149396356814,0.0087453606928032
2685,,BNP Cuisine Reservation,Bangkok,635146963,219336.0,8.0,19.0,27417.0,0.0
2688,,พีค ชาบู โรงแรมพรรณราย,Bangkok,949893666,1404550.0,59.0,155.0,23805.93220338983,0.0
2693,,อัปสรา บีชฟร้อนท์ รีสอร์ท แอนด์ วิลล่า สเตเคชั่น (พังงา),Bangkok,76584444,240000.0,2.0,8.0,120000.0,0.0
2699,,แพเสเป็ด (ภูเก็ต),Bangkok,881354546,337500.0,15.0,34.0,22500.0,0.0
2704,The Hilltop Aonang (Krabi),เดอะ ฮิลท็อป อ่าวนาง (กระบี่),Bangkok,75637195,7184600.0,345.0,938.0,20824.927536231884,0.081159420289855
2707,Kin Chan Si Grilled FISH & ISAAN Thai Food,กินฉันสิเมี่ยงปลาเผา,Sathon,831111174,13404800.0,1490.0,3053.0,8996.510067114094,0.0
2709,,ปลาร้าเทียบท่า by ส้มตำคอนแวนต์,Bangkok,987463691,9400.0,2.0,4.0,4700.0,0.0
2710,,เดอะ นาคา ไอแลนด์ ภูเก็ต (ภูเก็ต),Bangkok,76371400,840000.0,12.0,52.0,70000.0,0.0
2715,,ไพค์ไพน์ โอเพ่นคิทเช่น แอนด์ เบคบาร์,Bangkok,992870660,31500.0,3.0,8.0,10500.0,0.0
2720,,แซนด์บ็อกซ์ โรงแรมเรเนซองส์ รีสอร์ท แอนด์ สปา (ภูเก็ต),Bangkok,76363999,242600.0,14.0,28.0,17328.571428571428,0.0
2723,ARUN THAI CUISINE BY SEE FAH,อรุณ ไทย คูซีน บาย สีฟ้า,Ploenchit,889795032,49223300.0,2241.0,7667.0,21964.881749219097,0.0490852298081213
2724,123 ICHI NI SAN Sathorn Soi 1,123 อิจิ นิ ซัง สาธร 1,Sathon,629952294,580500.0,29.0,89.0,20017.241379310344,0.0
2725,,มารี กีมาร์,Bangkok,902345822,32185400.0,741.0,3824.0,43435.08771929824,0.0026990553306342
2726,,แมนดาริน อีสต์วิลล์ สเตเคชั่น (พัทยา),Bangkok,38110666,197500.0,3.0,10.0,65833.33333333333,0.0
2727,,แมนฮัตตันโฮเทล สเตเคชั่น (พัทยา),Bangkok,38225320,17462120.0,610.0,1238.0,28626.4262295082,0.001639344262295
2733,Nimitr Rooftop by 137 Pillars,นิมิตร รูฟท็อป by 137 Pillars,Thonglor,20797000,202180750.0,4570.0,14360.0,44240.86433260394,0.0105032822757111
2735,Bangkok Trading Post Bistro & Bar by 137 Pillars,แบงคอกเทรดดิ่งโพส by 137 Pillars,Phrom Phong,20797133,2745920.0,160.0,416.0,17162.0,0.025
2738,,Amari Bangkok Valentine's Day Promotion,Bangkok,26539000,5829200.0,84.0,171.0,69395.23809523809,0.0
2739,Anya Authentic Thai Cuisine,อัญญา ออเทนติค ไทย คุยซิน,Phra Nakhon,813449333,3420880.0,234.0,787.0,14619.1452991453,0.0128205128205128
2742,,แพครูวิทย์2 สาขาบ้านท่าเรือ (ภูเก็ต),Bangkok,896462640,105300.0,5.0,21.0,21060.0,0.2
2743,Toplofty Cafe (Khao Yai),ท็อปลอฟตี้ คาเฟ่ (เขาใหญ่),Bangkok,877746601,1514100.0,225.0,493.0,6729.333333333333,0.0
2745,,เรส ซิ้น เรสเตอรอง เรสท์ ดีเทล (หัวหิน),Bangkok,32522488,129500.0,5.0,15.0,25900.0,0.0
2749,Atrium Restaurant The Landmark Bangkok Hotel,เอเทรี่ยม โรงแรมแลนด์มาร์ค,Nana,847000228,285000220.0,5344.0,17103.0,53330.87949101797,0.0217065868263473
2750,,ร้านอาหารแอมเบอร์ แมริออท(หัวหิน),Bangkok,32904666,219890.0,4.0,11.0,54972.5,0.0
2752,,ล็อบบี้ เลาจน์ แมริออท (หัวหิน),Bangkok,32904666,154800.0,12.0,24.0,12900.0,0.0
2754,,ซูโม่ 888 อิซากายะ เดอะซีนทาวน์อินทาวน์,Bangkok,940516995,766060.0,29.0,86.0,26415.86206896552,0.0
2755,,Tempt Bar&Bistro (Phuket),Bangkok,618181842,286750.0,12.0,37.0,23895.83333333333,0.0
2757,Karkinos Beach Club by Apsara Beachfront Resort and Villa (Phang-nga),คาคีนอส บีช คลับ อัปสราบีชฟร้อนท์รีสอร์ทแอนด์วิลล่า (พังงา),Bangkok,76584447,4935900.0,130.0,587.0,37968.46153846154,0.0461538461538461
2758,Chef Naree,เชฟแอ้ม นรี,Srinakarin,959566926,225000.0,4.0,9.0,56250.0,0.0
2759,Rolling Ribs at Le Méridien Bangkok,Rolling Ribs at Le Méridien Bangkok,Sam Yan,22328888,12477640.0,592.0,2004.0,21077.094594594597,0.0101351351351351
2762,,แล เล กริล (กระบี่),Bangkok,650507887,50700.0,3.0,12.0,16900.0,0.0
2766,,Pakasai Resort Staycation (Krabi),Bangkok,75637777,294000.0,7.0,14.0,42000.0,0.0
2769,Shore Kitchen & Rooftop bar at Hotel clover Patong (Phuket),ห้องอาหารชอร์กริลบาร์ แอนด์ รูฟท็อป โรงแรมโคลฟเวอร์ ป่าตอง (ภูเก็ต),Bangkok,76685088,400900.0,32.0,84.0,12528.125,0.03125
2770,Great&Grand Sweet Destination (Pattaya),เกรท แอนด์ แกรนด์ สวีท เดสทิเนชั่น (พัทยา),Bangkok,974699919,283720.0,51.0,138.0,5563.137254901961,0.0
2773,The Continent Hotel Staycation,The Continent Hotel Staycation,Asok,26867000,318172500.0,5624.0,11383.0,56574.05761024182,0.0012446657183499
2780,King Seafood (Pattaya),ร้านอาหารคิงส์ซีฟู้ด (พัทยา),Bangkok,869179536,134703950.0,6337.0,15073.0,21256.73820419757,0.0102572195044973
